               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029752,            0.017216,            0.044642,            0.052204,             0.99543,            0.092053,            0.069513,           0.0074322,           0.0025939,            0.028605,             0.07002,           0.0033311,           0.0033311
                   1,            0.019484,            0.011727,            0.040809,             0.36735,             0.37564,             0.23615,             0.18769,           0.0071434,           0.0024565,            0.027327,             0.03969,           0.0063346,           0.0063346
                   2,            0.017496,            0.011097,            0.037026,             0.47352,             0.42884,             0.28394,              0.2243,           0.0057269,           0.0024342,            0.027143,             0.00903,            0.009008,            0.009008
                   3,            0.016027,            0.011104,            0.036067,              0.4752,             0.45217,             0.40033,             0.33215,           0.0054337,           0.0023839,            0.026943,            0.008515,            0.008515,            0.008515
                   4,            0.014773,            0.010564,            0.032671,             0.69246,             0.45617,             0.55299,             0.46768,           0.0050268,           0.0021885,            0.025733,            0.008515,            0.008515,            0.008515
                   5,            0.013968,            0.010239,            0.029778,             0.75747,             0.55689,             0.64428,              0.5471,           0.0048111,           0.0020525,            0.026042,             0.00802,             0.00802,             0.00802
                   6,             0.01385,            0.010062,            0.028365,             0.76277,             0.56656,             0.64012,             0.55655,           0.0044781,           0.0021039,            0.027025,            0.007525,            0.007525,            0.007525
                   7,             0.01322,           0.0097443,            0.026224,             0.80079,             0.59794,             0.69828,             0.61411,           0.0045634,           0.0019977,            0.026165,             0.00703,             0.00703,             0.00703
                   8,            0.012651,            0.009571,            0.024953,             0.79039,             0.60317,             0.70958,             0.63084,           0.0043376,           0.0020838,            0.025602,            0.006535,            0.006535,            0.006535
                   9,             0.01248,           0.0094008,            0.023718,              0.8004,             0.62057,             0.72532,             0.65015,           0.0041919,           0.0019356,            0.025547,             0.00604,             0.00604,             0.00604
                  10,            0.011791,             0.00915,            0.022218,             0.82993,             0.63123,             0.74864,              0.6723,           0.0039944,           0.0018781,            0.025373,            0.005545,            0.005545,            0.005545
                  11,            0.011385,           0.0089716,            0.021052,             0.81814,             0.62394,             0.73953,             0.66846,           0.0038824,           0.0018645,             0.02628,             0.00505,             0.00505,             0.00505
                  12,            0.011268,           0.0090411,            0.020535,              0.8164,             0.65401,             0.75075,             0.68438,           0.0039239,           0.0018266,            0.026567,            0.004555,            0.004555,            0.004555
                  13,            0.010906,           0.0086591,            0.020158,             0.84193,             0.64986,             0.77095,             0.70354,           0.0037096,           0.0017859,            0.025581,             0.00406,             0.00406,             0.00406
                  14,            0.010867,           0.0085846,            0.018932,             0.82133,             0.67141,             0.76087,             0.68905,           0.0037216,           0.0018008,            0.025711,            0.003565,            0.003565,            0.003565
                  15,             0.01014,           0.0083082,            0.018104,             0.82844,              0.6626,               0.782,             0.72136,           0.0035849,            0.001708,            0.026451,             0.00307,             0.00307,             0.00307
                  16,           0.0097971,           0.0081993,            0.017543,             0.83211,             0.66451,             0.77545,             0.71645,           0.0034844,           0.0016931,            0.025777,            0.002575,            0.002575,            0.002575
                  17,            0.009592,           0.0079556,            0.016122,             0.81397,             0.67578,             0.77212,              0.7165,           0.0034011,           0.0016951,            0.026411,             0.00208,             0.00208,             0.00208
                  18,           0.0092663,           0.0078348,             0.01572,             0.84907,             0.67676,               0.802,             0.74699,           0.0033176,           0.0016438,            0.024918,            0.001585,            0.001585,            0.001585
                  19,           0.0086959,           0.0077279,            0.015437,             0.85533,             0.68047,             0.81195,             0.75943,           0.0032619,           0.0016008,            0.024816,             0.00109,             0.00109,             0.00109
